,,,"Brooks, City [Census subdivision], Alberta",,,,,,"Division No.  2, Census division [Census division], Alberta"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Low income in 2015","  65 years and over",,    1145,,     545,,     605,,   21960,,   10450,,   11510,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,    1430,,     640,,     785,,   18425,,    8555,,    9875,
"Low income in 2015","  0 to 17 years",,     625,,     325,,     300,,    6265,,    3140,,    3130,
"Low income in 2015","    0 to 5 years",,     255,,     135,,     120,,    2500,,    1220,,    1270,
"Low income in 2015","  18 to 64 years",,     695,,     280,,     410,,   10265,,    4710,,    5555,
"Low income in 2015","  65 years and over",,     115,,      40,,      70,,    1895,,     705,,    1190,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     10.2,,      8.8,,     11.7,,     11.3,,     10.5,,     12.2,
"Low income in 2015","  0 to 17 years (%)",,     16.0,,     16.1,,     15.8,,     15.6,,     15.2,,     15.9,
"Low income in 2015","    0 to 5 years (%)",,     18.6,,     18.4,,     18.9,,     18.0,,     17.1,,     18.7,
"Low income in 2015","  18 to 64 years (%)",,      7.8,,      5.9,,      9.8,,     10.2,,      9.4,,     11.2,
"Low income in 2015","  65 years and over (%)",,     10.0,,      7.3,,     11.6,,      8.6,,      6.7,,     10.3,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,     705,,     370,,     340,,    9455,,    4625,,    4825,
"Low income in 2015","  0 to 17 years",,     265,,     135,,     125,,    2675,,    1355,,    1325,
"Low income in 2015","    0 to 5 years",,     115,,      70,,      45,,    1020,,     515,,     505,
"Low income in 2015","  18 to 64 years",,     415,,     220,,     200,,    6395,,    3090,,    3305,
"Low income in 2015","  65 years and over",,      30,,      15,,      15,,     385,,     185,,     200,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      5.0,,      5.1,,      5.1,,      5.8,,      5.7,,      6.0,
"Low income in 2015","  0 to 17 years (%)",,      6.8,,      6.7,,      6.6,,      6.6,,      6.6,,      6.7,
"Low income in 2015","    0 to 5 years (%)",,      8.4,,      9.5,,      7.1,,      7.3,,      7.2,,      7.5,
"Low income in 2015","  18 to 64 years (%)",,      4.6,,      4.6,,      4.8,,      6.4,,      6.1,,      6.6,
"Low income in 2015","  65 years and over (%)",,      2.6,,      2.8,,      2.5,,      1.8,,      1.8,,      1.7,
"Knowledge of languages","Total - Knowledge of languages for the population in private households - 25% sample data",44,   13995,,    7300,,    6695,,  162380,,   81430,,   80950,
"Knowledge of languages","  Official languages",,   13665,,    7185,,    6480,,  160325,,   80510,,   79815,
"Knowledge of languages","    English",,   13605,,    7145,,    6460,,  160220,,   80450,,   79765,
"Knowledge of languages","    French",,     565,,     315,,     250,,    6420,,    3075,,    3345,
"Knowledge of languages","  Non-official languages",,    4955,,    2670,,    2285,,   34780,,   17740,,   17030,
"Knowledge of languages","    Aboriginal languages",,      10,,       0,,      10,,     695,,     310,,     385,
"Knowledge of languages","      Algonquian languages",,      10,,       0,,      10,,     670,,     295,,     380,
"Knowledge of languages","        Blackfoot",,       0,,       0,,       0,,     615,,     280,,     335,
"Knowledge of languages","        Cree-Montagnais languages",,      10,,       0,,      10,,      45,,      20,,      25,
"Knowledge of languages","          Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Moose Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Knowledge of languages","          Plains Cree",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","          Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Swampy Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Woods Cree",,       0,,       0,,      10,,      10,,       0,,      10,
"Knowledge of languages","          Cree; n.o.s.",,       0,,       0,,       0,,      25,,      15,,      10,
"Knowledge of languages","        Eastern Algonquian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Mi'kmaq",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Ojibway-Potawatomi languages",,       0,,       0,,      10,,      15,,       0,,      15,
"Knowledge of languages","          Algonquin",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Ojibway",,       0,,       0,,      10,,      15,,       0,,      15,
"Knowledge of languages","          Oji-Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Ottawa (Odawa)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Athabaskan languages",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","        Northern Athabaskan languages",,       0,,       0,,       0,,      10,,      10,,       0,
"Knowledge of languages","          Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Chilcotin",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Dene",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","          Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Slavey-Hare languages",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","            North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Slavey; n.o.s.",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","          Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","          Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","            Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Athabaskan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Haida",,       0,,       0,,       0,,      10,,       0,,       0,
"Knowledge of languages","      Inuit languages",,       0,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","        Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Inuktitut",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Inuit languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,      10,
"Knowledge of languages","      Iroquoian languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Mohawk",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","        Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Knowledge of languages","      Michif",,       0,,       0,,       0,,      10,,      10,,      10,
"Knowledge of languages","      Salish languages",,       0,,       0,,       0,,       0,,      10,,       0,
"Knowledge of languages","        Comox",,       0,,       0,,       0,,       0,,       0,,       0,
